# time[ns]	wake_long[V/pC]	wake_dip_x[V/pC/mm]	wake_dip_y[V/pC/mm]
-0.1629876	0.0	0.0	0.0
-0.1629459	0.0	0.0	0.0
-0.1629042	0.0	0.0	0.0
-0.1628625	0.0	0.0	0.0
-0.1628208	0.0	0.0	0.0
-0.1627791	0.0	0.0	0.0
-0.1627374	0.0	0.0	0.0
-0.1626957	0.0	0.0	0.0
-0.162654	0.0	0.0	0.0
-0.1626123	0.0	0.0	0.0
-0.1625706	0.0	0.0	0.0
-0.1625289	0.0	0.0	0.0
-0.1624872	0.0	0.0	0.0
-0.1624455	0.0	0.0	0.0
-0.1624038	0.0	0.0	0.0
-0.1623621	0.0	0.0	0.0
-0.1623204	0.0	0.0	0.0
-0.1622787	0.0	0.0	0.0
-0.162237	0.0	0.0	0.0
-0.1621953	0.0	0.0	0.0
-0.1621536	0.0	0.0	0.0
-0.1621119	0.0	0.0	0.0
-0.1620702	0.0	0.0	0.0
-0.1620285	0.0	0.0	0.0
-0.1619868	0.0	0.0	0.0
-0.1619451	0.0	0.0	0.0
-0.1619034	0.0	0.0	0.0
-0.1618617	0.0	0.0	0.0
-0.16182	0.0	0.0	0.0
-0.1617783	0.0	0.0	0.0
-0.1617366	0.0	0.0	0.0
-0.1616949	0.0	0.0	0.0
-0.1616532	0.0	0.0	0.0
-0.1616115	0.0	0.0	0.0
-0.1615698	0.0	0.0	0.0
-0.1615282	0.0	0.0	0.0
-0.1614865	0.0	0.0	0.0
-0.1614448	0.0	0.0	0.0
-0.1614031	0.0	0.0	0.0
-0.1613614	0.0	0.0	0.0
-0.1613197	0.0	0.0	0.0
-0.161278	0.0	0.0	0.0
-0.1612363	0.0	0.0	0.0
-0.1611946	0.0	0.0	0.0
-0.1611529	0.0	0.0	0.0
-0.1611112	0.0	0.0	0.0
-0.1610695	0.0	0.0	0.0
-0.1610278	0.0	0.0	0.0
-0.1609861	0.0	0.0	0.0
-0.1609444	0.0	0.0	0.0
-0.1609027	0.0	0.0	0.0
-0.160861	0.0	0.0	0.0
-0.1608193	0.0	0.0	0.0
-0.1607776	0.0	0.0	0.0
-0.1607359	0.0	0.0	0.0
-0.1606942	0.0	0.0	0.0
-0.1606525	0.0	0.0	0.0
-0.1606108	0.0	0.0	0.0
-0.1605691	0.0	0.0	0.0
-0.1605274	0.0	0.0	0.0
-0.1604857	0.0	0.0	0.0
-0.160444	0.0	0.0	0.0
-0.1604023	0.0	0.0	0.0
-0.1603606	0.0	0.0	0.0
-0.1603189	0.0	0.0	0.0
-0.1602772	0.0	0.0	0.0
-0.1602355	0.0	0.0	0.0
-0.1601938	0.0	0.0	0.0
-0.1601521	0.0	0.0	0.0
-0.1601104	0.0	0.0	0.0
-0.1600687	0.0	0.0	0.0
-0.160027	0.0	0.0	0.0
-0.1599853	0.0	0.0	0.0
-0.1599436	0.0	0.0	0.0
-0.1599019	0.0	0.0	0.0
-0.1598602	0.0	0.0	0.0
-0.1598185	0.0	0.0	0.0
-0.1597769	0.0	0.0	0.0
-0.1597352	0.0	0.0	0.0
-0.1596935	0.0	0.0	0.0
-0.1596518	0.0	0.0	0.0
-0.1596101	0.0	0.0	0.0
-0.1595684	0.0	0.0	0.0
-0.1595267	0.0	0.0	0.0
-0.159485	0.0	0.0	0.0
-0.1594433	0.0	0.0	0.0
-0.1594016	0.0	0.0	0.0
-0.1593599	0.0	0.0	0.0
-0.1593182	0.0	0.0	0.0
-0.1592765	0.0	0.0	0.0
-0.1592348	0.0	0.0	0.0
-0.1591931	0.0	0.0	0.0
-0.1591514	0.0	0.0	0.0
-0.1591097	0.0	0.0	0.0
-0.159068	0.0	0.0	0.0
-0.1590263	0.0	0.0	0.0
-0.1589846	0.0	0.0	0.0
-0.1589429	0.0	0.0	0.0
-0.1589012	0.0	0.0	0.0
-0.1588595	0.0	0.0	0.0
-0.1588178	0.0	0.0	0.0
-0.1587761	0.0	0.0	0.0
-0.1587344	0.0	0.0	0.0
-0.1586927	0.0	0.0	0.0
-0.158651	0.0	0.0	0.0
-0.1586093	0.0	0.0	0.0
-0.1585676	0.0	0.0	0.0
-0.1585259	0.0	0.0	0.0
-0.1584842	0.0	0.0	0.0
-0.1584425	0.0	0.0	0.0
-0.1584008	0.0	0.0	0.0
-0.1583591	0.0	0.0	0.0
-0.1583174	0.0	0.0	0.0
-0.1582757	0.0	0.0	0.0
-0.158234	0.0	0.0	0.0
-0.1581923	0.0	0.0	0.0
-0.1581506	0.0	0.0	0.0
-0.1581089	0.0	0.0	0.0
-0.1580672	0.0	0.0	0.0
-0.1580256	0.0	0.0	0.0
-0.1579839	0.0	0.0	0.0
-0.1579422	0.0	0.0	0.0
-0.1579005	0.0	0.0	0.0
-0.1578588	0.0	0.0	0.0
-0.1578171	0.0	0.0	0.0
-0.1577754	0.0	0.0	0.0
-0.1577337	0.0	0.0	0.0
-0.157692	0.0	0.0	0.0
-0.1576503	0.0	0.0	0.0
-0.1576086	0.0	0.0	0.0
-0.1575669	0.0	0.0	0.0
-0.1575252	0.0	0.0	0.0
-0.1574835	0.0	0.0	0.0
-0.1574418	0.0	0.0	0.0
-0.1574001	0.0	0.0	0.0
-0.1573584	0.0	0.0	0.0
-0.1573167	0.0	0.0	0.0
-0.157275	0.0	0.0	0.0
-0.1572333	0.0	0.0	0.0
-0.1571916	0.0	0.0	0.0
-0.1571499	0.0	0.0	0.0
-0.1571082	0.0	0.0	0.0
-0.1570665	0.0	0.0	0.0
-0.1570248	0.0	0.0	0.0
-0.1569831	0.0	0.0	0.0
-0.1569414	0.0	0.0	0.0
-0.1568997	0.0	0.0	0.0
-0.156858	0.0	0.0	0.0
-0.1568163	0.0	0.0	0.0
-0.1567746	0.0	0.0	0.0
-0.1567329	0.0	0.0	0.0
-0.1566912	0.0	0.0	0.0
-0.1566495	0.0	0.0	0.0
-0.1566078	0.0	0.0	0.0
-0.1565661	0.0	0.0	0.0
-0.1565244	0.0	0.0	0.0
-0.1564827	0.0	0.0	0.0
-0.156441	0.0	0.0	0.0
-0.1563993	0.0	0.0	0.0
-0.1563576	0.0	0.0	0.0
-0.156316	0.0	0.0	0.0
-0.1562743	0.0	0.0	0.0
-0.1562326	0.0	0.0	0.0
-0.1561909	0.0	0.0	0.0
-0.1561492	0.0	0.0	0.0
-0.1561075	0.0	0.0	0.0
-0.1560658	0.0	0.0	0.0
-0.1560241	0.0	0.0	0.0
-0.1559824	0.0	0.0	0.0
-0.1559407	0.0	0.0	0.0
-0.155899	0.0	0.0	0.0
-0.1558573	0.0	0.0	0.0
-0.1558156	0.0	0.0	0.0
-0.1557739	0.0	0.0	0.0
-0.1557322	0.0	0.0	0.0
-0.1556905	0.0	0.0	0.0
-0.1556488	0.0	0.0	0.0
-0.1556071	0.0	0.0	0.0
-0.1555654	0.0	0.0	0.0
-0.1555237	0.0	0.0	0.0
-0.155482	0.0	0.0	0.0
-0.1554403	0.0	0.0	0.0
-0.1553986	0.0	0.0	0.0
-0.1553569	0.0	0.0	0.0
-0.1553152	0.0	0.0	0.0
-0.1552735	0.0	0.0	0.0
-0.1552318	0.0	0.0	0.0
-0.1551901	0.0	0.0	0.0
-0.1551484	0.0	0.0	0.0
-0.1551067	0.0	0.0	0.0
-0.155065	0.0	0.0	0.0
-0.1550233	0.0	0.0	0.0
-0.1549816	0.0	0.0	0.0
-0.1549399	0.0	0.0	0.0
-0.1548982	0.0	0.0	0.0
-0.1548565	0.0	0.0	0.0
-0.1548148	0.0	0.0	0.0
-0.1547731	0.0	0.0	0.0
-0.1547314	0.0	0.0	0.0
-0.1546897	0.0	0.0	0.0
-0.154648	0.0	0.0	0.0
-0.1546063	0.0	0.0	0.0
-0.1545647	0.0	0.0	0.0
-0.154523	0.0	0.0	0.0
-0.1544813	0.0	0.0	0.0
-0.1544396	0.0	0.0	0.0
-0.1543979	0.0	0.0	0.0
-0.1543562	0.0	0.0	0.0
-0.1543145	0.0	0.0	0.0
-0.1542728	0.0	0.0	0.0
-0.1542311	0.0	0.0	0.0
-0.1541894	0.0	0.0	0.0
-0.1541477	0.0	0.0	0.0
-0.154106	0.0	0.0	0.0
-0.1540643	0.0	0.0	0.0
-0.1540226	0.0	0.0	0.0
-0.1539809	0.0	0.0	0.0
-0.1539392	0.0	0.0	0.0
-0.1538975	0.0	0.0	0.0
-0.1538558	0.0	0.0	0.0
-0.1538141	0.0	0.0	0.0
-0.1537724	0.0	0.0	0.0
-0.1537307	0.0	0.0	0.0
-0.153689	0.0	0.0	0.0
-0.1536473	0.0	0.0	0.0
-0.1536056	0.0	0.0	0.0
-0.1535639	0.0	0.0	0.0
-0.1535222	0.0	0.0	0.0
-0.1534805	0.0	0.0	0.0
-0.1534388	0.0	0.0	0.0
-0.1533971	0.0	0.0	0.0
-0.1533554	0.0	0.0	0.0
-0.1533137	0.0	0.0	0.0
-0.153272	0.0	0.0	0.0
-0.1532303	0.0	0.0	0.0
-0.1531886	0.0	0.0	0.0
-0.1531469	0.0	0.0	0.0
-0.1531052	0.0	0.0	0.0
-0.1530635	0.0	0.0	0.0
-0.1530218	0.0	0.0	0.0
-0.1529801	0.0	0.0	0.0
-0.1529384	0.0	0.0	0.0
-0.1528967	0.0	0.0	0.0
-0.1528551	0.0	0.0	0.0
-0.1528134	0.0	0.0	0.0
-0.1527717	0.0	0.0	0.0
-0.15273	0.0	0.0	0.0
-0.1526883	0.0	0.0	0.0
-0.1526466	0.0	0.0	0.0
-0.1526049	0.0	0.0	0.0
-0.1525632	0.0	0.0	0.0
-0.1525215	0.0	0.0	0.0
-0.1524798	0.0	0.0	0.0
-0.1524381	0.0	0.0	0.0
-0.1523964	0.0	0.0	0.0
-0.1523547	0.0	0.0	0.0
-0.152313	0.0	0.0	0.0
-0.1522713	0.0	0.0	0.0
-0.1522296	0.0	0.0	0.0
-0.1521879	0.0	0.0	0.0
-0.1521462	0.0	0.0	0.0
-0.1521045	0.0	0.0	0.0
-0.1520628	0.0	0.0	0.0
-0.1520211	0.0	0.0	0.0
-0.1519794	0.0	0.0	0.0
-0.1519377	0.0	0.0	0.0
-0.151896	0.0	0.0	0.0
-0.1518543	0.0	0.0	0.0
-0.1518126	0.0	0.0	0.0
-0.1517709	0.0	0.0	0.0
-0.1517292	0.0	0.0	0.0
-0.1516875	0.0	0.0	0.0
-0.1516458	0.0	0.0	0.0
-0.1516041	0.0	0.0	0.0
-0.1515624	0.0	0.0	0.0
-0.1515207	0.0	0.0	0.0
-0.151479	0.0	0.0	0.0
-0.1514373	0.0	0.0	0.0
-0.1513956	0.0	0.0	0.0
-0.1513539	0.0	0.0	0.0
-0.1513122	0.0	0.0	0.0
-0.1512705	0.0	0.0	0.0
-0.1512288	0.0	0.0	0.0
-0.1511871	0.0	0.0	0.0
-0.1511454	0.0	0.0	0.0
-0.1511038	0.0	0.0	0.0
-0.1510621	0.0	0.0	0.0
-0.1510204	0.0	0.0	0.0
-0.1509787	0.0	0.0	0.0
-0.150937	0.0	0.0	0.0
-0.1508953	0.0	0.0	0.0
-0.1508536	0.0	0.0	0.0
-0.1508119	0.0	0.0	0.0
-0.1507702	0.0	0.0	0.0
-0.1507285	0.0	0.0	0.0
-0.1506868	0.0	0.0	0.0
-0.1506451	0.0	0.0	0.0
-0.1506034	0.0	0.0	0.0
-0.1505617	0.0	0.0	0.0
-0.15052	0.0	0.0	0.0
-0.1504783	0.0	0.0	0.0
-0.1504366	0.0	0.0	0.0
-0.1503949	0.0	0.0	0.0
-0.1503532	0.0	0.0	0.0
-0.1503115	0.0	0.0	0.0
-0.1502698	0.0	0.0	0.0
-0.1502281	0.0	0.0	0.0
-0.1501864	0.0	0.0	0.0
-0.1501447	0.0	0.0	0.0
-0.150103	0.0	0.0	0.0
-0.1500613	0.0	0.0	0.0
-0.1500196	0.0	0.0	0.0
-0.1499779	0.0	0.0	0.0
-0.1499362	0.0	0.0	0.0
-0.1498945	0.0	0.0	0.0
-0.1498528	0.0	0.0	0.0
-0.1498111	0.0	0.0	0.0
-0.1497694	0.0	0.0	0.0
-0.1497277	0.0	0.0	0.0
-0.149686	0.0	0.0	0.0
-0.1496443	0.0	0.0	0.0
-0.1496026	0.0	0.0	0.0
-0.1495609	0.0	0.0	0.0
-0.1495192	0.0	0.0	0.0
-0.1494775	0.0	0.0	0.0
-0.1494358	0.0	0.0	0.0
-0.1493941	0.0	0.0	0.0
-0.1493525	0.0	0.0	0.0
-0.1493108	0.0	0.0	0.0
-0.1492691	0.0	0.0	0.0
-0.1492274	0.0	0.0	0.0
-0.1491857	0.0	0.0	0.0
-0.149144	0.0	0.0	0.0
-0.1491023	0.0	0.0	0.0
-0.1490606	0.0	0.0	0.0
-0.1490189	0.0	0.0	0.0
-0.1489772	0.0	0.0	0.0
-0.1489355	0.0	0.0	0.0
-0.1488938	0.0	0.0	0.0
-0.1488521	0.0	0.0	0.0
-0.1488104	0.0	0.0	0.0
-0.1487687	0.0	0.0	0.0
-0.148727	0.0	0.0	0.0
-0.1486853	0.0	0.0	0.0
-0.1486436	0.0	0.0	0.0
-0.1486019	0.0	0.0	0.0
-0.1485602	0.0	0.0	0.0
-0.1485185	0.0	0.0	0.0
-0.1484768	0.0	0.0	0.0
-0.1484351	0.0	0.0	0.0
-0.1483934	0.0	0.0	0.0
-0.1483517	0.0	0.0	0.0
-0.14831	0.0	0.0	0.0
-0.1482683	0.0	0.0	0.0
-0.1482266	0.0	0.0	0.0
-0.1481849	0.0	0.0	0.0
-0.1481432	0.0	0.0	0.0
-0.1481015	0.0	0.0	0.0
-0.1480598	0.0	0.0	0.0
-0.1480181	0.0	0.0	0.0
-0.1479764	0.0	0.0	0.0
-0.1479347	0.0	0.0	0.0
-0.147893	0.0	0.0	0.0
-0.1478513	0.0	0.0	0.0
-0.1478096	0.0	0.0	0.0
-0.1477679	0.0	0.0	0.0
-0.1477262	0.0	0.0	0.0
-0.1476845	0.0	0.0	0.0
-0.1476429	0.0	0.0	0.0
-0.1476012	0.0	0.0	0.0
-0.1475595	0.0	0.0	0.0
-0.1475178	0.0	0.0	0.0
-0.1474761	0.0	0.0	0.0
-0.1474344	0.0	0.0	0.0
-0.1473927	0.0	0.0	0.0
-0.147351	0.0	0.0	0.0
-0.1473093	0.0	0.0	0.0
-0.1472676	0.0	0.0	0.0
-0.1472259	0.0	0.0	0.0
-0.1471842	0.0	0.0	0.0
-0.1471425	0.0	0.0	0.0
-0.1471008	0.0	0.0	0.0
-0.1470591	0.0	0.0	0.0
-0.1470174	0.0	0.0	0.0
-0.1469757	0.0	0.0	0.0
-0.146934	0.0	0.0	0.0
-0.1468923	0.0	0.0	0.0
-0.1468506	0.0	0.0	0.0
-0.1468089	0.0	0.0	0.0
-0.1467672	0.0	0.0	0.0
-0.1467255	0.0	0.0	0.0
-0.1466838	0.0	0.0	0.0
-0.1466421	0.0	0.0	0.0
-0.1466004	0.0	0.0	0.0
-0.1465587	0.0	0.0	0.0
-0.146517	0.0	0.0	0.0
-0.1464753	0.0	0.0	0.0
-0.1464336	0.0	0.0	0.0
-0.1463919	0.0	0.0	0.0
-0.1463502	0.0	0.0	0.0
-0.1463085	0.0	0.0	0.0
-0.1462668	0.0	0.0	0.0
-0.1462251	0.0	0.0	0.0
-0.1461834	0.0	0.0	0.0
-0.1461417	0.0	0.0	0.0
-0.1461	0.0	0.0	0.0
-0.1460583	0.0	0.0	0.0
-0.1460166	0.0	0.0	0.0
-0.1459749	0.0	0.0	0.0
-0.1459332	0.0	0.0	0.0
-0.1458916	0.0	0.0	0.0
-0.1458499	0.0	0.0	0.0
-0.1458082	0.0	0.0	0.0
-0.1457665	0.0	0.0	0.0
-0.1457248	0.0	0.0	0.0
-0.1456831	0.0	0.0	0.0
-0.1456414	0.0	0.0	0.0
-0.1455997	0.0	0.0	0.0
-0.145558	0.0	0.0	0.0
-0.1455163	0.0	0.0	0.0
-0.1454746	0.0	0.0	0.0
-0.1454329	0.0	0.0	0.0
-0.1453912	0.0	0.0	0.0
-0.1453495	0.0	0.0	0.0
-0.1453078	0.0	0.0	0.0
-0.1452661	0.0	0.0	0.0
-0.1452244	0.0	0.0	0.0
-0.1451827	0.0	0.0	0.0
-0.145141	0.0	0.0	0.0
-0.1450993	0.0	0.0	0.0
-0.1450576	0.0	0.0	0.0
-0.1450159	0.0	0.0	0.0
-0.1449742	0.0	0.0	0.0
-0.1449325	0.0	0.0	0.0
-0.1448908	0.0	0.0	0.0
-0.1448491	0.0	0.0	0.0
-0.1448074	0.0	0.0	0.0
-0.1447657	0.0	0.0	0.0
-0.144724	0.0	0.0	0.0
-0.1446823	0.0	0.0	0.0
-0.1446406	0.0	0.0	0.0
-0.1445989	0.0	0.0	0.0
-0.1445572	0.0	0.0	0.0
-0.1445155	0.0	0.0	0.0
-0.1444738	0.0	0.0	0.0
-0.1444321	0.0	0.0	0.0
-0.1443904	0.0	0.0	0.0
-0.1443487	0.0	0.0	0.0
-0.144307	0.0	0.0	0.0
-0.1442653	0.0	0.0	0.0
-0.1442236	0.0	0.0	0.0
-0.144182	0.0	0.0	0.0
-0.1441403	0.0	0.0	0.0
-0.1440986	0.0	0.0	0.0
-0.1440569	0.0	0.0	0.0
-0.1440152	0.0	0.0	0.0
-0.1439735	0.0	0.0	0.0
-0.1439318	0.0	0.0	0.0
-0.1438901	0.0	0.0	0.0
-0.1438484	0.0	0.0	0.0
-0.1438067	0.0	0.0	0.0
-0.143765	0.0	0.0	0.0
-0.1437233	0.0	0.0	0.0
-0.1436816	0.0	0.0	0.0
-0.1436399	0.0	0.0	0.0
-0.1435982	0.0	0.0	0.0
-0.1435565	0.0	0.0	0.0
-0.1435148	0.0	0.0	0.0
-0.1434731	0.0	0.0	0.0
-0.1434314	0.0	0.0	0.0
-0.1433897	0.0	0.0	0.0
-0.143348	0.0	0.0	0.0
-0.1433063	0.0	0.0	0.0
-0.1432646	0.0	0.0	0.0
-0.1432229	0.0	0.0	0.0
-0.1431812	0.0	0.0	0.0
-0.1431395	0.0	0.0	0.0
-0.1430978	0.0	0.0	0.0
-0.1430561	0.0	0.0	0.0
-0.1430144	0.0	0.0	0.0
-0.1429727	0.0	0.0	0.0
-0.142931	0.0	0.0	0.0
-0.1428893	0.0	0.0	0.0
-0.1428476	0.0	0.0	0.0
-0.1428059	0.0	0.0	0.0
-0.1427642	0.0	0.0	0.0
-0.1427225	0.0	0.0	0.0
-0.1426808	0.0	0.0	0.0
-0.1426391	0.0	0.0	0.0
-0.1425974	0.0	0.0	0.0
-0.1425557	0.0	0.0	0.0
-0.142514	0.0	0.0	0.0
-0.1424723	0.0	0.0	0.0
-0.1424307	0.0	0.0	0.0
-0.142389	0.0	0.0	0.0
-0.1423473	0.0	0.0	0.0
-0.1423056	0.0	0.0	0.0
-0.1422639	0.0	0.0	0.0
-0.1422222	0.0	0.0	0.0
-0.1421805	0.0	0.0	0.0
-0.1421388	0.0	0.0	0.0
-0.1420971	0.0	0.0	0.0
-0.1420554	0.0	0.0	0.0
-0.1420137	0.0	0.0	0.0
-0.141972	0.0	0.0	0.0
-0.1419303	0.0	0.0	0.0
-0.1418886	0.0	0.0	0.0
-0.1418469	0.0	0.0	0.0
-0.1418052	0.0	0.0	0.0
-0.1417635	0.0	0.0	0.0
-0.1417218	0.0	0.0	0.0
-0.1416801	0.0	0.0	0.0
-0.1416384	0.0	0.0	0.0
-0.1415967	0.0	0.0	0.0
-0.141555	0.0	0.0	0.0
-0.1415133	0.0	0.0	0.0
-0.1414716	0.0	0.0	0.0
-0.1414299	0.0	0.0	0.0
-0.1413882	0.0	0.0	0.0
-0.1413465	0.0	0.0	0.0
-0.1413048	0.0	0.0	0.0
-0.1412631	0.0	0.0	0.0
-0.1412214	0.0	0.0	0.0
-0.1411797	0.0	0.0	0.0
-0.141138	0.0	0.0	0.0
-0.1410963	0.0	0.0	0.0
-0.1410546	0.0	0.0	0.0
-0.1410129	0.0	0.0	0.0
-0.1409712	0.0	0.0	0.0
-0.1409295	0.0	0.0	0.0
-0.1408878	0.0	0.0	0.0
-0.1408461	0.0	0.0	0.0
-0.1408044	0.0	0.0	0.0
-0.1407627	0.0	0.0	0.0
-0.140721	0.0	0.0	0.0
-0.1406794	0.0	0.0	0.0
-0.1406377	0.0	0.0	0.0
-0.140596	0.0	0.0	0.0
-0.1405543	0.0	0.0	0.0
-0.1405126	0.0	0.0	0.0
-0.1404709	0.0	0.0	0.0
-0.1404292	0.0	0.0	0.0
-0.1403875	0.0	0.0	0.0
-0.1403458	0.0	0.0	0.0
-0.1403041	0.0	0.0	0.0
-0.1402624	0.0	0.0	0.0
-0.1402207	0.0	0.0	0.0
-0.140179	0.0	0.0	0.0
-0.1401373	0.0	0.0	0.0
-0.1400956	0.0	0.0	0.0
-0.1400539	0.0	0.0	0.0
-0.1400122	0.0	0.0	0.0
-0.1399705	0.0	0.0	0.0
-0.1399288	0.0	0.0	0.0
-0.1398871	0.0	0.0	0.0
-0.1398454	0.0	0.0	0.0
-0.1398037	0.0	0.0	0.0
-0.139762	0.0	0.0	0.0
-0.1397203	0.0	0.0	0.0
-0.1396786	0.0	0.0	0.0
-0.1396369	0.0	0.0	0.0
-0.1395952	0.0	0.0	0.0
-0.1395535	0.0	0.0	0.0
-0.1395118	0.0	0.0	0.0
-0.1394701	0.0	0.0	0.0
-0.1394284	0.0	0.0	0.0
-0.1393867	0.0	0.0	0.0
-0.139345	0.0	0.0	0.0
-0.1393033	0.0	0.0	0.0
-0.1392616	0.0	0.0	0.0
-0.1392199	0.0	0.0	0.0
-0.1391782	0.0	0.0	0.0
-0.1391365	0.0	0.0	0.0
-0.1390948	0.0	0.0	0.0
-0.1390531	0.0	0.0	0.0
-0.1390114	0.0	0.0	0.0
-0.1389698	0.0	0.0	0.0
-0.1389281	0.0	0.0	0.0
-0.1388864	0.0	0.0	0.0
-0.1388447	0.0	0.0	0.0
-0.138803	0.0	0.0	0.0
-0.1387613	0.0	0.0	0.0
-0.1387196	0.0	0.0	0.0
-0.1386779	0.0	0.0	0.0
-0.1386362	0.0	0.0	0.0
-0.1385945	0.0	0.0	0.0
-0.1385528	0.0	0.0	0.0
-0.1385111	0.0	0.0	0.0
-0.1384694	0.0	0.0	0.0
-0.1384277	0.0	0.0	0.0
-0.138386	0.0	0.0	0.0
-0.1383443	0.0	0.0	0.0
-0.1383026	0.0	0.0	0.0
-0.1382609	0.0	0.0	0.0
-0.1382192	0.0	0.0	0.0
-0.1381775	0.0	0.0	0.0
-0.1381358	0.0	0.0	0.0
-0.1380941	0.0	0.0	0.0
-0.1380524	0.0	0.0	0.0
-0.1380107	0.0	0.0	0.0
-0.137969	0.0	0.0	0.0
-0.1379273	0.0	0.0	0.0
-0.1378856	0.0	0.0	0.0
-0.1378439	0.0	0.0	0.0
-0.1378022	0.0	0.0	0.0
-0.1377605	0.0	0.0	0.0
-0.1377188	0.0	0.0	0.0
-0.1376771	0.0	0.0	0.0
-0.1376354	0.0	0.0	0.0
-0.1375937	0.0	0.0	0.0
-0.137552	0.0	0.0	0.0
-0.1375103	0.0	0.0	0.0
-0.1374686	0.0	0.0	0.0
-0.1374269	0.0	0.0	0.0
-0.1373852	0.0	0.0	0.0
-0.1373435	0.0	0.0	0.0
-0.1373018	0.0	0.0	0.0
-0.1372601	0.0	0.0	0.0
-0.1372185	0.0	0.0	0.0
-0.1371768	0.0	0.0	0.0
-0.1371351	0.0	0.0	0.0
-0.1370934	0.0	0.0	0.0
-0.1370517	0.0	0.0	0.0
-0.13701	0.0	0.0	0.0
-0.1369683	0.0	0.0	0.0
-0.1369266	0.0	0.0	0.0
-0.1368849	0.0	0.0	0.0
-0.1368432	0.0	0.0	0.0
-0.1368015	0.0	0.0	0.0
-0.1367598	0.0	0.0	0.0
-0.1367181	0.0	0.0	0.0
-0.1366764	0.0	0.0	0.0
-0.1366347	0.0	0.0	0.0
-0.136593	0.0	0.0	0.0
-0.1365513	0.0	0.0	0.0
-0.1365096	0.0	0.0	0.0
-0.1364679	0.0	0.0	0.0
-0.1364262	0.0	0.0	0.0
-0.1363845	0.0	0.0	0.0
-0.1363428	0.0	0.0	0.0
-0.1363011	0.0	0.0	0.0
-0.1362594	0.0	0.0	0.0
-0.1362177	0.0	0.0	0.0
